Title	Complement	POS_1	Definition_1
Բրունոն	նիւ	np.	Bruno.
Բրուտոս	սիւ	np.	Brutus.
Գաբինիոս	սիւ	np.	Gabinius.
Գաբրիէլ	լիւ	np.	Gabriel.
Գալանոս	սիւ	np.	Galano.
Գալբա	այ	np.	Galba.
Գալիլէոս	սիւ	np.	Galilee.
Գաղենոս	սիւ	np.	Galenus.
Գաղիղեա		np.	cf. Գալիլէոս.
Գամաղիէլ	լիւ	np.	Gamaliel.
Գայէտանոս	նեայ	np.	Caietanus.
Գայիանէ	նեայ	np.	Gayané.
Գանիմեդէս	դեայ	np.	Ganymede.
Գառնիկ	նկայ	np.	Garnik.
Գասպար	րայ	np.	Gaspard.
Գարեգին	գնիւ	np.	Karekin.
Գեդէոն	նիւ	np.	Gideon, Gedeon.
Գելասիոս	սիւ	np.	Gelasius.
Գեղամ	մայ	np.	Keram.
Գենատիոս	սիւ	np.	Gennadius.
Գենարոս	սիւ	np.	Januarius.
Գերարդոս	սիւ	np.	Gérard.
Գերմանիկոս	սիւ	np.	Germanicus.
Գերմանոս	սիւ	np.	Germain.
Գէորգ	գայ	np.	George.
Գիլբերտոս	սիւ	np.	Gilbert.
Գիլիպպոս	պեայ	np.	Gylippus.
Գիսակ	կայ	np.	Gisak.
Գիսանէ	նեայ	np.	Gisane.
Գիւտ	տայ	np.	Giwd.
Գնէլ	լայ	np.	Gnel.
Գուլիէլմոս	մայ	np.	William.
Գրատիանոս	սիւ	np.	Gratianus
Գրիգոր	րիւ	np.	Gregory; — Լուսաւորիչ, — the Illuminator; — Նարեկացի, — of Narek; — Նազիանզացի, — of Nazianzus; — Նիւսացի, — of Nyssa.
Գրիգորիոս	սիւ	np.	cf. Գրիգոր.
Գրիգորիս	սիւ	np.	cf. Գրիգոր.
Դադան	նայ	np.	Dathan.
Դամասոս	սիւ	np.	Damasus.
Դամոն	նիւ	np.	Damon.
Դան	նայ	np.	Dan.
Դանիէլ	լիւ	np.	Daniel.
Դարեհ	հիւ	np.	Darius.
Դաւիթ	ւթայ	np.	David.
Դափնէ	նեայ	np.	Daphne.
Դեդաղոս	ղեայ	np.	Daedalus.
Դեմետր	րեայ, րի	np.	Demeter.
Դեմետրիոս		np.	Demetrius; cf. Դեմետր.
Դեմոկրիտոս	տեայ	np.	Démocritus.
Դեմոսթենէս	նեայ	np.	Demosthenes.
Դեւկալիոն	նիւ	np.	Deucalion.
Դիագորաս	րայ	np.	Diagoras.
Դիդէ	դեայ	np.	Dido.
Դիոգինէս	նեայ	np.	Diogenes.
Դիոդորոս	րի	np.	Diodorus.
Դիոկղետիանոս	սիւ	np.	Diocletian.
Դիոն	նիւ	np.	Dion.
Դիոնէսիոս	սիւ	np.	Dionysus.
Դիոնիսի	նիսեայ	np.	Bacchus.
Դիոս	իայ	np.	Jupiter.
Դիոսկորոս	սիւ	np.	Dioscorus.
Դոմետիանոս	սիւ	np.	Domitian.
Դոմինիկոս	սիւ	np.	Dominic.
Դորոթէոս	սիւ	np.	Dorotheus.
Եգեսիպպոս	պպեայ	np.	Hegesippus.
Եգիդիոս	սիւ	np.	Aegidius.
Եդիպոս	պեայ	np.	Oedipus.
Եդուարդ	դայ	np.	Edward.
Եզեկիա	այ	np.	Hezekiah.
Եզեկիէլ	լիւ	np.	Ezekiel.
Եզնիկ	նկայ	np.	Eznik.
Եզր	րիւ	np.	Ezra.
Եղիա	այի	np.	Elijah.
Եղիազար	րու, րաւ	np.	Eleazar.
Եղիշէ	էիւ	np.	Elisha.
Եղիսաբեթ	թիւ	np.	cf. Եղիսաբէթ.
Եղիսաբէթ	թիւ	np.	Elizabeth.
Եղիսէ	էիւ	np.	Elishah.
Եմիղիոս	ղեայ	np.	Emilius.
Եմպետոկղ	ղիւ	np.	Empedocles.
Ենէաս	նեայ՝ սայ	np.	Aeneas.
Եննովկենտիոս	սիւ	np.	Innocent.
Ենովս	սայ	np.	Enos.
Ենովք	քայ	np.	Enoch.
Եպամինոնդաս	այ	np.	Epaminondas.
Եպիկուրոս	րայ՝ սիւ	np.	Epicurus.
Եպիկտետոս	սիւ	np.	Epictetus.
Եպիմենիդէս	դեայ	np.	Epimenides.
Եպիփան	նու	np.	Epiphanius.
Եսայի	յեայ	np.	Isaias.
Եսաւ	ւայ	np.	Esau.
Եսթեր	րայ	np.	Esther.
Եսիոդոս	դեայ	np.	Hesiodus, Hesiod.
Եսովպոս	սիւ	np.	Aesop.
Եսքինէս	նեայ	np.	Aeschines.
Երանեակ	եկայ	np.	Fortunate, Felicity.
Երանուհի	հւոյ	np.	Felicia.
Երանոս	սիւ	np.	Eranos.
Երասմոս	սիւ	np.	Erasmus.
Երատոստենէս	նեայ	np.	Eratosthenes.
Երեմիա	այ	np.	Jeremiah.
Երուանդ	դայ	np.	Eruand.
Եւայ	յիւ	np.	Eve.
Եւագոր	րայ	np.	Evagoras.
Եւագր	րի	np.	Evagrius.
Եւդոքսիա	այ	np.	Eudoxia.
Եւկղիդէս	դեայ	np.	Euclid.
Եւմենէս	նեայ	np.	Eumenes.
